	precision	recall	f1-score	support
Bridge	0.0	0.0	0.0	227.0
Chorus	0.8673333333333333	0.8755047106325706	0.8713998660415271	1486.0
Coda	0.0	0.0	0.0	226.0
Development	0.0	0.0	0.0	70.0
Fade-out	0.0	0.0	0.0	87.0
Head	0.8180300500834724	0.8672566371681416	0.8419243986254296	565.0
Interlude	0.37527593818984545	0.6513409961685823	0.47619047619047616	522.0
Intro	0.6792260692464358	0.7657864523536165	0.7199136535348085	871.0
Main_Theme	0.0	0.0	0.0	326.0
Outro	0.3953068592057762	0.47921225382932164	0.4332344213649852	457.0
Pre-Chorus	0.0	0.0	0.0	96.0
Pre-Verse	0.0	0.0	0.0	16.0
Secondary_Theme	0.0	0.0	0.0	152.0
Silence	0.0	0.0	0.0	30.0
Solo	0.8978461538461538	0.9079029247044181	0.9028465346534653	1607.0
Theme	0.5313504823151125	0.8463508322663252	0.6528395061728395	781.0
Transition	0.0	0.0	0.0	180.0
Verse	0.8166023166023166	0.9191655801825294	0.8648538131261501	2301.0
accuracy	0.7252	0.7252	0.7252	0.7252
macro avg	0.298942844601247	0.3506955770725281	0.3201779260949823	10000.0
weighted avg	0.6456024918757083	0.7252	0.67949624970375	10000.0
