	precision	recall	f1-score	support
Bridge	0.0	0.0	0.0	248.0
Chorus	0.8200245700245701	0.898989898989899	0.8576935432059107	1485.0
Coda	0.0	0.0	0.0	209.0
Development	0.0	0.0	0.0	48.0
Fade-out	0.0	0.0	0.0	51.0
Head	0.8228782287822878	0.7978533094812165	0.8101725703905541	559.0
Interlude	0.3708708708708709	0.45996275605214154	0.4106400665004156	537.0
Intro	0.45448504983388704	0.8560700876095119	0.59375	799.0
Main_Theme	0.0	0.0	0.0	295.0
Outro	0.0	0.0	0.0	510.0
Pre-Chorus	0.0	0.0	0.0	90.0
Pre-Verse	0.0	0.0	0.0	20.0
Secondary_Theme	0.0	0.0	0.0	149.0
Silence	0.0	0.0	0.0	31.0
Solo	0.8150201612903226	0.9467213114754098	0.8759479956663054	1708.0
Theme	0.7404403244495944	0.7344827586206897	0.7374495095210618	870.0
Transition	0.0	0.0	0.0	172.0
Verse	0.7467994310099573	0.9463722397476341	0.8348240906380442	2219.0
accuracy	0.7068	0.7068	0.7068	0.7068
macro avg	0.26502881312563836	0.31335846455425015	0.28447098755123845	10000.0
weighted avg	0.5933402084016831	0.7068	0.6411656251227014	10000.0
